,,l1,s0,beta,l2,n0,e0,mlsq
Exotic forest,TER-AGUA-T-66,0.08685671188191099,13,0.08985374425150695,0.002997032369595967,56,4393.624155107989,0.21282492779955467
Exotic forest,TER-MNEG-T-62,0.029780924960836893,21,0.030485048927372634,0.0007041239665357398,193,30017.293729581615,0.23058293932722707
Exotic forest,TER-MNEG-T-63,0.028452051810201738,15,0.033242204860267625,0.004790153050065886,128,3259.4239531018084,0.19410663816666346
Exotic forest,TER-TCHA-T-64,0.01493040802661555,20,0.016422705394715666,0.001492297368100116,291,13693.154575573995,0.3790967396559298
Exotic forest,TER-ACAR-T111,0.08328223651265722,14,0.08427872428159362,0.0009964877689364042,63,14112.344544331761,0.20157554262222055
Exotic forest,TER-ACAR-T112,0.07130110931397328,13,0.0732247309798231,0.0019236216658498268,64,6822.085662471886,0.3036636105694369
Exotic forest,TER-ACAR-T-25,0.027492673559047297,18,0.03289548998121386,0.005402816422166565,156,3487.595707407338,0.7385843642734232
Exotic forest,TER-ACAR-T-26,0.07298615766423558,19,0.07592844809751631,0.0029422904332807266,92,6549.554218675323,0.1283480323646868
Exotic forest,TER-ALT-T176,0.02227685214510632,15,0.02932885243099981,0.007052000285893492,140,2267.0560680499875,0.7282770841423412
Exotic forest,TER-BISC-T-65,0.037249862947991534,15,0.04172644171426748,0.004476578766275947,109,3459.773164766283,0.24651659437326912
Exotic forest,TER-MASE-T167,0.022024918975014622,17,0.0233025075044814,0.001277588529466779,189,13495.3185899886,0.531448690789765
Exotic forest,TER-POSA-T172,0.00280839417991268,26,0.003973241396644121,0.0011648472167314413,1170,23490.523779037685,0.9303186224887147
Native forest,TER-MATE-T-13,0.06083883238080612,28,0.061823492138916435,0.000984659758110318,156,28592.21846975387,0.9026363595434592
Native forest,TER-MATE-T-14,0.016119024578983163,20,0.016497470672862617,0.0003784460938794543,290,53137.68510880855,1.2563392391709307
Native forest,TER-MATE-T168,0.033829196389886886,32,0.03584471866921303,0.0020155222793261465,262,16138.778107706466,0.9457097239898793
Native forest,TER-NFBF-T-03,0.031990143805482894,15,0.032179902488337034,0.00018975868285414177,131,79178.76621752675,0.38496527286837934
Native forest,TER-NFBF-T-38,0.04973932359145362,16,0.07354042756080624,0.023801103969352623,79,751.2377256366899,0.492742704902543
