Data,Data,Data,Data,Data,Data,Data,Data,Data,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture
Order (new),MF,Species_name,Family,N/E/I,Trophic,Paper_OTU,Body Size (mm),Body_Mass.mg.,TER-AGUA-T-66,TER-MNEG-T-62,TER-MNEG-T-63,TER-TCHA-T-64,TER-ACAR-T111,TER-ACAR-T112,TER-ACAR-T-25,TER-ACAR-T-26,TER-ALT-T176,TER-BISC-T-65,TER-MASE-T167,TER-POSA-T172,TER-MATE-T-13,TER-MATE-T-14,TER-MATE-T168,TER-NFBF-T-03,TER-NFBF-T-38,TER-NFBF-TP39,TER-NFBF-TP41,TER-NFBF-TP42,TER-NFBF-TY01,TER-NFBF-TY02,TER-NFBF-TY04,TER-NFGM-T-23,TER-NFGM-T-53,TER-NFGM-T-54,TER-NFGM-TY35,TER-NFPG-T-22,TER-NFPG-T-40,TER-NFPG-T-44,TER-NFPG-TY33,TER-NFSB-T-07,TER-NFSB-T-08,TER-NFSB-T-09,TER-NFSB-T-10,TER-NFSB-T-12,TER-NFSB-T164,TER-NFSB-T-43,TER-NFSB-T-46,TER-NFSB-T-47,TER-NFSB-T-57,TER-NFSB-TE45,TER-NFSB-TE48,TER-NFSB-TE49,TER-NFSB-TE50,TER-NFSB-TY05,TER-NFSB-TY06,TER-NFSB-TY11,TER-NFTB-T173,TER-NFTB-T-51,TER-NFTB-T-52,TER-NFTB-T-55,TER-NFTB-T-56,TER-NFTB-TY15,TER-NFTB-TY16,TER-NFTB-TY18,TER-AGUA-T113,TER-AGUA-T114,TER-AGUA-T-71,TER-ALTA-T-80,TER-CINC-T-74,TER-CINC-T-90,TER-DOZE-T-89,TER-FETE-T-81,TER-FTER-T-82,TER-FTER-T-88,TER-GRANJA_T169,TER-LAJE-T174,TER-PCPI-T-91,TER-PATE-T115,TER-PATE-T116,TER-PIMER-T175,TER-PVIT-T-68,TER-RTER-T-85,TER-SANT-T-87,TER-SSEB-T-83,TER-SCUM-T-75,TER-SERCU-T170,TER-VNOV-T-70,TER-ZIND-T-84,TER-BAGA-T-77,TER-BAGA-T-78,TER-CA_T163,TER-GOLF-T-86,TER-CVSB_T162,TER-MNEG-T-73,TER-MNEG-T-76,TER-MNEG-T-79,TER-NFBF-T-61,TER-NFGM-T-69,TER-NFPG-T118,TER-NFPG-T-67,TER-NFTB-T117,TER-NFTB-T-28,TER-PB-T165,TER-SBAR-T-72
Araneae,2,Tenuiphantes miguelensis,Linyphiidae,N,P,Araneae,2.06,0.546,1,19,22,4,0,0,1,0,32,0,11,0,5,2,2,2,5,8,1,2,2,5,12,0,1,1,1,10,5,3,13,4,4,4,2,3,4,5,11,3,9,18,18,7,20,3,12,3,5,1,6,19,4,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,3,Xysticus cor,Thomisidae,N,P,Araneae,4.36,3.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,4,Porrhomma borgesi,Linyphiidae,E ,P,Araneae,1.92,0.469,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,5,Rugathodes acoreensis,Theridiidae,E ,P,Araneae,1.91,0.461,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,1,2,5,0,0,0,0,0,0,0,0,10,2,0,1,0,4,0,2,1,2,7,1,5,0,4,0,11,9,2,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,17,Pardosa acorensis,Lycosidae,E ,P,Araneae,6.12,6.679,0,1,1,0,10,19,18,2,0,9,0,0,1,2,1,7,7,1,0,0,0,0,0,6,0,2,8,0,3,0,0,1,0,15,4,0,1,0,4,2,0,5,0,31,0,21,0,0,0,0,0,1,0,0,1,0,3,30,2,6,1,8,8,27,5,7,28,6,1,0,0,30,0,0,10,4,16,18,1,8,4,12,9,0,20,9,3,2,139,0,0,6,4,21,39,0
Araneae,20,Palliduphantes schmitzi,Linyphiidae,N,P,Araneae,1.65,0.327,0,4,0,0,2,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,4,3,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,1,4,2,27,0,1,0
Araneae,21,Tenuiphantes tenuis,Linyphiidae,I,P,Araneae,2.47,0.833,1,13,1,12,0,0,2,5,5,0,0,8,5,5,21,2,6,0,1,0,0,0,0,57,2,4,1,2,0,0,0,0,0,0,2,1,0,0,4,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,0,2,4,11,2,0,9,3,4,0,0,3,0,0,8,0,0,9,0,0,16,2,4,3,20,3,2,7,1,1,0,3,0,0,5,1
Araneae,22,Agyneta decora,Linyphiidae,I,P,Araneae,1.78,0.394,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,1,0,6,0,0
Araneae,24,Mermessus fradeorum,Linyphiidae,I,P,Araneae,2.10,0.573,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,1,0,9,27,2,1,3,6,1,0,0,1,0,0,0,0,3,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,1
