Site code,Site name,Island,Habitat (general),Year,Month,Sampling method,Sample number,Sample code,MF,Species,Family,Order (new),Class,N/E/I,Trophic,Adults
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S01,PTS-ETHY-S01,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S01,PTS-ETHY-S01,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S02,PTS-ETHY-S02,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,3
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S03,PTS-ETHY-S03,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S03,PTS-ETHY-S03,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S03,PTS-ETHY-S03,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S05,PTS-ETHY-S05,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S05,PTS-ETHY-S05,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S06,PTS-ETHY-S06,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S06,PTS-ETHY-S06,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S06,PTS-ETHY-S06,308,Stelidota geminata (Say),Nitidulidae,Coleoptera,Insecta,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S07,PTS-ETHY-S07,20,Palliduphantes schmitzi (Kulczynski),Linyphiidae,Araneae,Arachnida,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S07,PTS-ETHY-S07,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S07,PTS-ETHY-S07,282,Cylindroiulus propinquus (Porat),Julidae,Julida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,245,Eumodicogryllus bordigalensis (Latreille),Gryllidae,Orthoptera,Insecta,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,377,Carpelimus corticinus (Gravenhorst),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,20,Palliduphantes schmitzi (Kulczynski),Linyphiidae,Araneae,Arachnida,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,282,Cylindroiulus propinquus (Porat),Julidae,Julida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S11,PTS-ETHY-S11,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S11,PTS-ETHY-S11,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S11,PTS-ETHY-S11,82,Proteinus atomarius Erichson,Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S12,PTS-ETHY-S12,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S12,PTS-ETHY-S12,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S12,PTS-ETHY-S12,37,Polydesmus coriaceus Porat,Polydesmidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S12,PTS-ETHY-S12,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,3
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,28,Dysdera crocata C. L. Koch,Dysderidae,Araneae,Arachnida,I,P,1
