Species,Body_length,Body_mass
Ocys harpaloides,3.87,1.459959486
Ocys harpaloides,3.9,1.490027965
Ocys harpaloides,4.01,1.60355921
Ocys harpaloides,3.99,1.582531274
Ocys harpaloides,4.23,1.846385694
Ocys harpaloides,4.19,1.800648225
Ocys harpaloides,3.99,1.582531274
Ocys harpaloides,4.16,1.766811631
Ocys harpaloides,4.07,1.667681446
Ocys harpaloides,3.85,1.440124977
Ocys harpaloides,3.95,1.540991308
Ocys harpaloides,3.89,1.479962817
Ocys harpaloides,3.86,1.450021164
Ocys harpaloides,4.08,1.678520645
Ocys harpaloides,3.97,1.561675491
Ocys harpaloides,3.87,1.459959486
Ocys harpaloides,4.18,1.789325044
Ocys harpaloides,4.12,1.722314695
Ocys harpaloides,3.99,1.582531274
Ocys harpaloides,4.19,1.800648225
Ocys harpaloides,4.02,1.614137907
Ocys harpaloides,4.21,1.823427875
Ocys harpaloides,4.1,1.700330082
Ocys harpaloides,3.99,1.582531274
Ocys harpaloides,4.02,1.614137907
Ocys harpaloides,3.95,1.540991308
Phloeonomus punctipennis,1.41,0.101559912
Phloeonomus punctipennis,1.95,0.23904256
Phloeonomus punctipennis,1.81,0.196361027
Phloeonomus punctipennis,2,0.255565982
Phloeonomus punctipennis,1.48,0.11541833
Phloeonomus punctipennis,1.93,0.232624339
Phloeonomus punctipennis,2,0.255565982
Phloeonomus punctipennis,1.66,0.156267696
Phloeonomus punctipennis,1.71,0.169002679
Phloeonomus punctipennis,1.64,0.151346233
Phloeonomus punctipennis,1.63,0.148922093
Phloeonomus punctipennis,1.54,0.128185399
Phloeonomus punctipennis,1.83,0.202141151
Phloeonomus punctipennis,1.88,0.217050394
Phloeonomus punctipennis,2.07,0.279863054
Phloeonomus punctipennis,1.75,0.179640521
Phloeonomus punctipennis,1.77,0.185111449
Phloeonomus punctipennis,1.73,0.174271179
Phloeonomus punctipennis,1.54,0.128185399
Phloeonomus punctipennis,2.16,0.313142316
Phloeonomus punctipennis,1.86,0.211007567
Phloeonomus punctipennis,2.04,0.269282108
Phloeonomus punctipennis,1.86,0.211007567
Phloeonomus punctipennis,2.05,0.272780958
Phloeonomus punctipennis,1.95,0.23904256
Otiorhynchus rugosostriatus,7.86,9.477621884
Otiorhynchus rugosostriatus,7.95,9.766817583
Otiorhynchus rugosostriatus,7.72,9.038441045
Otiorhynchus rugosostriatus,7.48,8.315417805
Ocypus aethiops,10.94,22.68765382
Ocypus aethiops,10.16,18.66307691
Ocypus aethiops,11.72,27.21151687
Ocypus aethiops,10.87,22.30641887
Ocypus aethiops,16.45,66.59809993
Drouetius borgesi,9.2,14.36096821
Drouetius borgesi,7.98,9.86441852
Drouetius borgesi,7.69,8.946010299
Drouetius borgesi,6.91,6.745371942
Drouetius borgesi,7.54,8.492669233
Drouetius borgesi,8.89,13.11850985
Drouetius borgesi,7.67,8.884717379
Drouetius borgesi,9.77,16.8308289
Drouetius borgesi,9.72,16.60438506
Drouetius borgesi,8.19,10.56460727
Drouetius borgesi,7.54,8.492669233
Drouetius borgesi,8,9.92982106
Drouetius borgesi,6.8,6.46557846
Drouetius borgesi,7.81,9.319284844
Pseudechinosoma nodosum,2.33,0.382475383
Pseudechinosoma nodosum,2.04,0.269282108
Pseudechinosoma nodosum,2.1,0.290698503
Pseudechinosoma nodosum,1.72,0.17162437
Pseudechinosoma nodosum,2.2,0.328684886
Pseudechinosoma nodosum,1.9,0.223199575
Pseudechinosoma nodosum,1.91,0.226314274
Pseudechinosoma nodosum,2.25,0.348775287
Pseudechinosoma nodosum,2.06,0.27630791
Pseudechinosoma nodosum,1.44,0.107364532
Pseudechinosoma nodosum,1.96,0.242292452
Pseudechinosoma nodosum,1.71,0.169002679
Pseudechinosoma nodosum,1.93,0.232624339
Pseudechinosoma nodosum,1.94,0.235819885
Pseudechinosoma nodosum,1.8,0.193509936
Pseudechinosoma nodosum,2.07,0.279863054
Pseudechinosoma nodosum,1.99,0.252206328
Anaspis proteus,1.83,0.202141151
Anaspis proteus,1.92,0.229455832
Anaspis proteus,1.88,0.217050394
Anaspis proteus,2.17,0.316984155
Anaspis proteus,2.07,0.279863054
Anaspis proteus,1.74,0.176943198
Anaspis proteus,1.92,0.229455832
Anaspis proteus,1.88,0.217050394
Anaspis proteus,1.94,0.235819885
Anaspis proteus,1.91,0.226314274
Anaspis proteus,2.19,0.324755354
Anaspis proteus,2.23,0.340650237
Anaspis proteus,2.07,0.279863054
Anaspis proteus,2.2,0.328684886
Anaspis proteus,2.08,0.283446475
Anaspis proteus,2.08,0.283446475
Anaspis proteus,2.26,0.352882512
Aloconota sulcifrons,3.11,0.819730858
Aloconota sulcifrons,3.02,0.758581394
Aloconota sulcifrons,3.1,0.812790705
Aloconota sulcifrons,2.49,0.455774615
Aloconota sulcifrons,2.7,0.564396347
Aloconota sulcifrons,2.06,0.27630791
Aloconota sulcifrons,2.65,0.537220979
Ocypus olens,20.61,120.7674107
Ocypus olens,16.46,66.70503406
Ocypus olens,15.66,58.48359987
Ocypus olens,15.24,54.43323803
Ocypus olens,17.73,81.16614484
Ocypus olens,18.94,96.61999036
Atlantocis gillerforsi,1.32,0.085329467
Atlantocis gillerforsi,1.33,0.087046675
Atlantocis gillerforsi,1.32,0.085329467
Atlantocis gillerforsi,1.53,0.12599962
Atlantocis gillerforsi,1.44,0.107364532
Atlantocis gillerforsi,1.78,0.18788524
Atlantocis gillerforsi,1.44,0.107364532
Atlantocis gillerforsi,1.32,0.085329467
Atlantocis gillerforsi,1.38,0.095954345
Atlantocis gillerforsi,1.31,0.083633462
Atlantocis gillerforsi,1.41,0.101559912
Trechus terrabravensis,2.48,0.450958206
Trechus terrabravensis,2.55,0.485344299
Trechus terrabravensis,2.7,0.564396347
Trechus terrabravensis,2.7,0.564396347
Trechus terrabravensis,2.57,0.495458521
Trechus terrabravensis,2.54,0.480335703
Trechus terrabravensis,2.51,0.465502997
Trechus terrabravensis,2.75,0.59240971
